2 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,,,,,,,,,,,,,,,,,
circle,0.210524227,0.789475773,,,,,,,,,,,,,,,,,
triangle,0.20367893,0.79632107,,,,,,,,,,,,,,,,,
diamond,0.183333333,0.816666667,,,,,,,,,,,,,,,,,
inverted_triangle,0.223148148,0.776851852,,,,,,,,,,,,,,,,,
octagon,0.012820513,0.987179487,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.662379823,0.228118367,0.04807092,0.060182295,0.001248595,,,,,,,,,,,,,,
cluster 1,0.637628205,0.228942308,0.054967949,0.053782051,0.024679487,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,,,,,,,,,,,,,,,,
cluster 2,0.844714038,0.062738302,0.053379549,0.03812825,0.001039861,,,,,,,,,,,,,,
cluster 3,0.00073692,0.99926308,0,0,0,,,,,,,,,,,,,,
cluster 4,0.888067582,0.02998944,0.071805702,0.00718057,0.002956705,,,,,,,,,,,,,,
cluster 5,0.79393785,0.015155374,0.108507387,0.021141111,0.061258278,,,,,,,,,,,,,,
cluster 6,0.000556483,0.004451864,0.002225932,0.992765721,0,,,,,,,,,,,,,,
cluster 7,0.907969959,0,0.063109517,0,0.028920525,,,,,,,,,,,,,,
cluster 8,0.586744639,0.316764133,0.035087719,0.061403509,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,,,,,,,,,
circle,0.006111354,0.000198421,0.304575578,7.94E-05,0.000277789,0.024008889,0.261399262,0.1693718,0.136513354,0.097464185,,,,,,,,,
triangle,0.399219621,0.255964326,0,0.000557414,0.281493868,0.034559643,0.000445931,0.008026756,0.002118172,0.01761427,,,,,,,,,
diamond,0.003809524,0,0.238571429,0.002380952,0,0.017142857,0.42952381,0.167142857,0.069047619,0.072380952,,,,,,,,,
inverted_triangle,0.006944444,0,0,0.833796296,0,0.029166667,0.0625,0.015740741,0.000925926,0.050925926,,,,,,,,,
octagon,0.001282051,0,0.265384615,0,0,0,0.679487179,0.020512821,0.029487179,0.003846154,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.040968343,0.952646981,0.002128226,0.003990423,0.000266028,,,,,,,,,,,,,,
cluster 1,0.002172968,0.997827032,0,0,0,,,,,,,,,,,,,,
cluster 2,0.915543362,0,0.059763808,0,0.024692831,,,,,,,,,,,,,,
cluster 3,0.001103144,0.00275786,0.00275786,0.993381136,0,,,,,,,,,,,,,,
cluster 4,0.002764613,0.997235387,0,0,0,,,,,,,,,,,,,,
cluster 5,0.596646943,0.305719921,0.035502959,0.062130178,0,,,,,,,,,,,,,,
cluster 6,0.807428291,0.000490316,0.110566315,0.016548174,0.064966904,,,,,,,,,,,,,,
cluster 7,0.900232019,0.015186669,0.074035014,0.007171483,0.003374815,,,,,,,,,,,,,,
cluster 8,0.947919537,0.005235602,0.039955911,0.000551116,0.006337834,,,,,,,,,,,,,,
cluster 9,0.853073984,0.054880167,0.05279611,0.038207711,0.001042028,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,,,,,,,,
circle,0.005317671,0.120639708,0.096154609,0.198063415,0.112821937,0.000158736,0.023810469,0.283185841,0.159649192,3.97E-05,0.000158736,,,,,,,,
triangle,0.405462653,0.000111483,0.017168339,0.002341137,0.002341137,0.256633222,0.034448161,0,0.008918618,0.000557414,0.272017837,,,,,,,,
diamond,0.002380952,0.234285714,0.073333333,0.304761905,0.036190476,0,0.017142857,0.177142857,0.152380952,0.002380952,0,,,,,,,,
inverted_triangle,0.00462963,0.006018519,0.050925926,0.066666667,0.000462963,0,0.029166667,0,0.015277778,0.826851852,0,,,,,,,,
octagon,0.001282051,0.426923077,0.003846154,0.430769231,0.011538462,0,0,0.105128205,0.020512821,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.035384209,0.960390811,0.001320306,0.002640613,0.000264061,,,,,,,,,,,,,,
cluster 1,0.783707141,0.000257798,0.126836814,0.003351379,0.085846868,,,,,,,,,,,,,,
cluster 2,0.851969058,0.054149086,0.054149086,0.038677918,0.001054852,,,,,,,,,,,,,,
cluster 3,0.813926941,0.003424658,0.104370515,0.023483366,0.054794521,,,,,,,,,,,,,,
cluster 4,0.963728814,0.007118644,0.025762712,0.000338983,0.003050847,,,,,,,,,,,,,,
cluster 5,0.001734605,0.998265395,0,0,0,,,,,,,,,,,,,,
cluster 6,0.595238095,0.306547619,0.035714286,0.0625,0,,,,,,,,,,,,,,
cluster 7,0.940184453,0,0.049011858,0,0.010803689,,,,,,,,,,,,,,
cluster 8,0.899597496,0.017889088,0.071556351,0.007379249,0.003577818,,,,,,,,,,,,,,
cluster 9,0.000556483,0.002782415,0.002782415,0.993878687,0,,,,,,,,,,,,,,
cluster 10,0.001636661,0.998363339,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,,,,,,,
circle,0.128338426,0.022024684,0.253819596,0.111393309,0.000119052,0.110123418,0.086312949,0.19088059,0.09210683,7.94E-05,3.97E-05,0.004762094,,,,,,,
triangle,0.017725753,0.034448161,0,0,0.269119287,0.000222965,0.014158305,0.002675585,0.002898551,0.256410256,0.000445931,0.401895206,,,,,,,
diamond,0.058571429,0.013809524,0.086190476,0.267142857,0,0.20047619,0.067619048,0.281428571,0.02047619,0,0.001904762,0.002380952,,,,,,,
inverted_triangle,0.024074074,0.026388889,0,0,0,0.006481481,0.051851852,0.071759259,0,0,0.816203704,0.003240741,,,,,,,
octagon,0.019230769,0,0.182051282,0.005128205,0,0.379487179,0.001282051,0.401282051,0.01025641,0,0,0.001282051,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
